 created by the TBmodels package    Fri, 25 Jul 2025 17:51:57 JST
           8
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -1    1    0    2    5      0.59337807325403      0.00000000000000
   -1    1    0    3    5      0.38783387066329      0.00000000000000
   -1    1    0    4    5     -0.75278502604010      0.00000000000000
   -1    1    0    5    5     -0.00542313225200     -0.00000000000000
   -1    1    0    6    5      0.00013307993636     -0.00000000000000
   -1    1    0    7    5      0.00013307993636      0.00000000000000
   -1    1    0    8    5      0.01000615339330      0.00000000000000
   -1    1    0    1    6     -0.59337807325403      0.00000000000000
   -1    1    0    2    6      0.49247560733837      0.00000000000000
   -1    1    0    3    6      0.65209108491860      0.00000000000000
   -1    1    0    4    6     -1.26602291918942     -0.00000000000000
   -1    1    0    5    6     -0.00013307993636     -0.00000000000000
   -1    1    0    6    6     -0.12352303917319     -0.00000000000000
   -1    1    0    7    6     -0.03333188267838     -0.00000000000000
   -1    1    0    8    6      0.00017851194243      0.00000000000000
   -1    1    0    1    7     -0.38783387066329      0.00000000000000
   -1    1    0    2    7      0.65209108491860     -0.00000000000000
   -1    1    0    3    7     -0.07908221927358      0.00000000000000
   -1    1    0    4    7     -0.82718144425144      0.00000000000000
   -1    1    0    5    7     -0.00013307993636      0.00000000000000
   -1    1    0    6    7     -0.03333188267838      0.00000000000000
   -1    1    0    7    7     -0.12352303917319     -0.00000000000000
   -1    1    0    8    7      0.00017851194243     -0.00000000000000
   -1    1    0    1    8      0.75278502604010      0.00000000000000
   -1    1    0    2    8     -1.26602291918942      0.00000000000000
   -1    1    0    3    8     -0.82718144425144     -0.00000000000000
   -1    1    0    4    8      1.10123398412704     -0.00000000000000
   -1    1    0    5    8     -0.01000615339330      0.00000000000000
   -1    1    0    6    8      0.00017851194243     -0.00000000000000
   -1    1    0    7    8      0.00017851194243      0.00000000000000
   -1    1    0    8    8      0.29133988306273      0.00000000000000
   -1    1    1    1    1      0.00000000000000     -0.00000000000000
   -1    1    1    2    1      0.00000000000000     -0.00000000000000
   -1    1    1    3    1      0.00000000000000     -0.00000000000000
   -1    1    1    4    1      0.00000000000000     -0.00000000000000
   -1    1    1    5    1      0.00000000000000     -0.00000000000000
   -1    1    1    6    1      0.00000000000000     -0.00000000000000
   -1    1    1    7    1      0.00000000000000     -0.00000000000000
   -1    1    1    8    1      0.00000000000000     -0.00000000000000
   -1    1    1    1    2      0.00000000000000     -0.00000000000000
